iter	Passed	Remaining
0	0	50
1	0	45
2	1	43
3	1	39
4	2	39
5	2	38
6	2	38
7	3	37
8	3	36
9	4	36
10	4	35
11	4	35
12	5	35
13	5	34
14	6	34
15	6	33
16	6	33
17	7	32
18	7	32
19	7	31
20	8	31
21	8	31
22	9	30
23	9	30
24	9	29
25	10	29
26	10	28
27	11	28
28	11	28
29	11	27
30	12	27
31	12	27
32	13	26
33	13	26
34	14	26
35	14	25
36	14	25
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	22
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	19	19
50	20	19
51	21	20
52	22	20
53	23	20
54	23	19
55	25	19
56	26	19
57	26	19
58	28	19
59	28	19
60	30	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	39	9
81	40	8
82	40	8
83	40	7
84	41	7
85	41	6
86	42	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	46	0
99	47	0
