iter	Passed	Remaining
0	143	143409
1	144	71891
2	144	48053
3	145	36108
4	145	28949
5	145	24172
6	146	20756
7	146	18202
8	147	16240
9	148	14659
10	148	13364
11	149	12269
12	149	11350
13	149	10558
14	150	9874
15	150	9273
16	151	8742
17	151	8271
18	152	7848
19	152	7466
20	152	7123
21	153	6812
22	153	6533
23	154	6275
24	154	6034
25	155	5813
26	155	5608
27	156	5418
28	156	5239
29	156	5073
30	157	4916
31	157	4771
32	158	4634
33	158	4505
34	158	4382
35	159	4269
36	159	4161
37	160	4062
38	160	3966
39	161	3874
40	161	3788
41	162	3704
42	162	3624
43	163	3548
44	163	3475
45	164	3405
46	164	3340
47	165	3276
48	165	3215
49	166	3157
50	166	3104
51	167	3050
52	167	2998
53	168	2947
54	168	2897
55	169	2849
56	169	2804
57	170	2761
58	170	2720
59	171	2679
60	171	2639
61	171	2601
62	172	2565
63	173	2530
64	173	2496
65	174	2462
66	174	2430
67	174	2398
68	175	2367
69	175	2337
70	176	2308
71	176	2279
72	177	2251
73	177	2224
74	178	2197
75	178	2171
76	179	2147
77	179	2123
78	180	2099
79	180	2076
80	181	2053
81	181	2031
82	181	2007
83	182	1986
84	182	1965
85	183	1945
86	183	1926
87	184	1910
88	184	1891
89	185	1875
90	185	1857
91	186	1840
92	186	1823
93	187	1807
94	187	1790
95	188	1774
96	188	1758
97	189	1743
98	189	1727
99	190	1712
100	190	1697
101	191	1683
102	191	1669
103	192	1655
104	192	1643
105	193	1630
106	193	1616
107	194	1604
108	194	1591
109	195	1578
110	195	1566
111	196	1554
112	196	1542
113	196	1530
114	197	1519
115	197	1507
116	198	1496
117	198	1485
118	199	1475
119	199	1464
120	200	1454
121	200	1443
122	200	1433
123	201	1423
124	201	1413
125	202	1403
126	202	1393
127	203	1384
128	203	1374
129	204	1365
130	204	1356
131	204	1347
132	205	1339
133	205	1330
134	206	1322
135	206	1314
136	207	1305
137	207	1297
138	208	1289
139	208	1281
140	209	1273
141	209	1265
142	209	1257
143	210	1250
144	210	1243
145	211	1236
146	211	1228
147	212	1221
148	212	1214
149	213	1207
150	213	1200
151	214	1193
152	214	1187
153	214	1180
154	215	1174
155	215	1167
156	216	1161
157	216	1155
158	217	1150
159	217	1143
160	218	1136
161	218	1130
162	219	1124
163	219	1118
164	219	1113
165	220	1107
166	220	1101
167	221	1095
168	221	1090
169	222	1084
170	222	1079
171	223	1073
172	223	1068
173	223	1063
174	224	1058
175	224	1053
176	225	1047
177	225	1042
178	226	1037
179	226	1032
180	227	1027
181	227	1022
182	228	1017
183	228	1013
184	228	1008
185	229	1004
186	229	999
187	230	995
188	230	990
189	231	986
190	231	981
191	232	977
192	232	973
193	233	968
194	233	964
195	234	960
196	234	955
197	234	951
198	235	947
199	235	943
200	236	939
201	236	935
202	237	931
203	237	927
204	238	923
205	238	919
206	239	916
207	239	912
208	239	908
209	240	904
210	240	900
211	241	896
212	241	893
213	242	889
214	242	886
215	243	882
216	243	878
217	244	875
218	244	871
219	244	868
220	245	865
221	245	861
222	246	858
223	246	854
224	247	851
225	247	847
226	248	844
227	248	841
228	248	838
229	249	834
230	249	831
231	250	828
232	250	825
233	251	822
234	251	819
235	252	816
236	252	812
237	252	809
238	253	806
239	253	803
240	254	800
241	254	798
242	255	795
243	255	792
244	256	790
245	256	787
246	257	784
247	257	781
248	258	778
249	258	775
250	259	772
251	259	770
252	259	767
253	260	764
254	260	762
255	261	759
256	261	756
257	262	754
258	262	751
259	263	749
260	263	746
261	264	744
262	264	741
263	265	738
264	265	736
265	265	733
266	266	731
267	266	728
268	267	726
269	267	723
270	268	721
271	268	719
272	269	716
273	269	714
274	270	712
275	270	709
276	271	707
277	271	705
278	272	702
279	272	700
280	272	698
281	273	695
282	273	694
283	274	691
284	274	689
285	275	687
286	275	685
287	276	682
288	276	680
289	277	678
290	277	676
291	278	674
292	278	672
293	278	669
294	279	667
295	279	665
296	280	663
297	280	661
298	281	659
299	281	657
300	282	655
301	282	653
302	283	651
303	283	649
304	284	647
305	284	645
306	284	643
307	285	641
308	285	639
309	286	636
310	286	634
311	287	633
312	287	631
313	288	629
314	288	627
315	288	625
316	289	623
317	289	621
318	290	619
319	290	617
320	291	616
321	291	614
322	292	612
323	292	610
324	293	608
325	293	606
326	293	605
327	294	603
328	294	601
329	295	599
330	295	597
331	296	595
332	296	594
333	296	592
334	297	590
335	297	588
336	298	586
337	298	585
338	299	583
339	299	581
340	300	580
341	300	578
342	301	576
343	301	574
344	301	573
345	302	571
346	302	570
347	303	568
348	303	566
349	304	565
350	304	563
351	305	561
352	305	560
353	306	558
354	306	557
355	307	555
356	307	554
357	308	552
358	308	551
359	309	549
360	309	548
361	310	546
362	310	545
363	311	543
364	311	542
365	312	540
366	312	539
367	313	537
368	313	536
369	313	534
370	314	533
371	314	531
